id,logicalLine_code,logiclLine_name,longitude,latitude,name,koName,enName,displayCode
"137","1","1호선","126.9264239","37.5134021","대방","대방","Daebang","137"
"138","1","1호선","126.9186529","37.5168369","신길","신길","Singil","138"
"139","1","1호선","126.9076047","37.5158126","영등포","영등포","Yeongdeungpo","139"
"1918","109","신분당선","127.0948906","37.3226221","수지구청","수지구청","Suji-gu Office","D15"
"1917","109","신분당선","127.1028451","37.337795","동천","동천","Dongchun","D14"
"1916","109","신분당선","127.1089129","37.3488461","미금","미금","Migeum","D13"
"1915","109","신분당선","127.108455","37.3677228","정자","정자","Jeongja","D12"
"1914","109","신분당선","127.1111601","37.3947763","판교","판교","Pangyo","D11"
"1913","109","신분당선","127.0546971","37.4482647","청계산입구","청계산입구","Cheonggyesan","D10"
"1912","109","신분당선","127.038396","37.4699132","양재시민의숲","양재시민의숲","Yangjae Citizen's Forest","D09"
"1911","109","신분당선","127.0348766","37.4835997","양재","양재","Yangjae","D08"
"1809","108","경춘선","127.0618605","37.6237828","광운대","광운대","Kwangwoon Univ.","119"
"140","1","1호선","126.8915617","37.5090107","신도림","신도림","Sindorim","140"
"261","2","2호선","126.8826425","37.5144737","도림천","도림천","Dorimcheon","234-1"
"141","1","1호선","126.8824085","37.5031569","구로","구로","Guro","141"
"262","2","2호선","126.8656677","37.5123852","양천구청","양천구청","Yangcheon-gu Office","234-2"
"142","1","1호선","126.8695903","37.4962607","구일","구일","Guil","142"
"263","2","2호선","126.852868","37.5202337","신정네거리","신정네거리","Sinjeongnegeori","234-3"
"143","1","1호선","126.8591569","37.4945462","개봉","개봉","Gaebong","143"
"264","2","2호선","126.8469288","37.5314047","까치산","까치산","Kkachisan","234-4"
"1921","109","신분당선","127.051533","37.2885031","광교중앙(아주대)","광교중앙(아주대)","GwanggyoJungang","D18"
"144","1","1호선","126.8447498","37.4944163","오류동","오류동","Oryu-dong","144"
"1920","109","신분당선","127.0693559","37.2978736","상현","상현","Sanghyeon","D17"
"145","1","1호선","126.8239577","37.4924185","온수","온수","Onsu","145"
"146","1","1호선","126.8119814","37.4852794","역곡","역곡","Yeokgok","146"
"147","1","1호선","126.7957368","37.4827699","소사","소사","Sosa","147"
"148","1","1호선","126.7828035","37.4840866","부천","부천","Bucheon","148"
"149","1","1호선","126.7642477","37.4867117","중동","중동","Jung-dong","149"
"1808","108","경춘선","127.0766605","37.5950255","중랑","중랑","Jungnang","K119"
"1807","108","경춘선","127.0581826","37.5897923","회기","회기","Hoegi","K118"
"1806","108","경춘선","127.0487715","37.5811595","청량리","청량리","Cheongnyangni","K117"
"1922","109","신분당선","127.0441981","37.302087","광교(경기대)","광교(경기대)","Gwanggyo","D19"
"150","1","1호선","126.7528537","37.487646","송내","송내","Songnae","150"
"151","1","1호선","126.7407068","37.4884743","부개","부개","Bugae","151"
"152","1","1호선","126.7245174","37.4894813","부평","부평","Bupyeong","152"
"153","1","1호선","126.7069848","37.4831587","백운","백운","Baegun","153"
"154","1","1호선","126.702898","37.4708816","동암","동암","Dongam","154"
"1811","108","경춘선","127.0916503","37.5999462","망우","망우","Mangu","K121"
"155","1","1호선","126.6934234","37.4647023","간석","간석","Ganseok","155"
"1810","108","경춘선","127.0859789","37.5972545","상봉","상봉","Sangbong","K120"
"156","1","1호선","126.6797087","37.4650741","주안","주안","Juan","156"
"157","1","1호선","126.6686415","37.4661284","도화","도화","Dohwa","157"
"158","1","1호선","126.657523","37.4668232","제물포","제물포","Jemulpo","158"
"159","1","1호선","126.6426106","37.4687095","도원","도원","Dowon","159"
"1819","108","경춘선","127.2853933","37.6590109","천마산","천마산","Cheonmasan","P129"
"1818","108","경춘선","127.2445494","37.6532218","평내호평","평내호평","PyeongnaeHopyeong","P128"
"1817","108","경춘선","127.2076199","37.6373638","금곡","금곡","Geumgok","P127"
"1816","108","경춘선","127.176858","37.6511518","사릉","사릉","Sareung","P126"
"1815","108","경춘선","127.1436414","37.648288","퇴계원","퇴계원","Toegyewon","P125"
"1814","108","경춘선","127.1274395","37.6422712","별내","별내","Byeollae","P124"
"1813","108","경춘선","127.1148218","37.6341427","갈매","갈매","Galmae","P123"
"1812","108","경춘선","127.1032491","37.6127859","신내","신내","Sinnae","P122"
"11150","116","수인분당선","126.745449","37.380008","달월","달월","Darwol","K259"
"160","1","1호선","126.6326162","37.475431","동인천","동인천","Dongincheon","160"
"161","1","1호선","126.6169577","37.4763766","인천","인천","Incheon","161"
"1701","107","에버라인","127.1167491","37.2754707","기흥","기흥","Giheung","Y110"
"1822","108","경춘선","127.4266782","37.7355415","청평","청평","Cheongpyeong","P132"
"1821","108","경춘선","127.3795092","37.6838659","대성리","대성리","Daeseong-ri","P131"
"1820","108","경춘선","127.3117893","37.6527993","마석","마석","Maseok","P130"
"1709","107","에버라인","127.1902816","37.238068","명지대","명지대","Myongji Univ.","Y118"
"1708","107","에버라인","127.1788391","37.2393998","시청용인대","시청용인대","City Hall·YongIn Univ.","Y117"
"1829","108","경춘선","127.723785","37.8640709","남춘천","남춘천","Namchuncheon","P139"
"1707","107","에버라인","127.1681063","37.2421434","삼가","삼가","Samga","Y116"
"1828","108","경춘선","127.714198","37.8183649","김유정","김유정","Gimyujeong","P138"
"1706","107","에버라인","127.1594612","37.2608426","초당","초당","Chodang","Y115"
"1827","108","경춘선","127.6341726","37.8057443","강촌","강촌","Gangchon","P137"
"1705","107","에버라인","127.1527207","37.2691123","동백","동백","Dongbaek","Y114"
"1826","108","경춘선","127.5891079","37.8308826","백양리","백양리","Baegyang-ri","P136"
"1704","107","에버라인","127.1437434","37.2749437","어정","어정","Eojeong","Y113"
"1825","108","경춘선","127.5577551","37.8320883","굴봉산","굴봉산","Gulbongsan","P135"
"1703","107","에버라인","127.1366128","37.2697106","지석","지석","Jiseok","Y112"
"1824","108","경춘선","127.5107313","37.8145184","가평","가평","Gapyeong","P134"
"1702","107","에버라인","127.1260071","37.2701968","강남대","강남대","Kangnam Univ.","Y111"
"1823","108","경춘선","127.4544338","37.7700396","상천","상천","Sangcheon","P133"
"11120","116","수인분당선","126.7422567","37.3519972","정왕","정왕","Jeongwang","K257"
"172","1","1호선","126.882559","37.4816348","가산디지털단지","가산디지털단지","Gasan Digital Complex","P142"
"173","1","1호선","126.8893964","37.4661067","독산","독산","Doksan","P143"
"174","1","1호선","126.8940088","37.4556516","금천구청","금천구청","Geumcheon-gu Office","P144"
"175","1","1호선","126.9022515","37.4351714","석수","석수","Seoksu","P145"
"176","1","1호선","126.9084945","37.4195895","관악","관악","Gwanak","P146"
"1712","107","에버라인","127.2142222","37.2446942","고진","고진","Gojin","Y121"
"11009","110","의정부경전철","127.0637847","37.7488688","새말","새말","Sae-mal","U119"
"177","1","1호선","126.9226534","37.4019344","안양","안양","Anyang","P147"
"1711","107","에버라인","127.2090662","37.2378989","운동장송담대","운동장송담대","Stadium·Songdam College","Y120"
"11008","110","의정부경전철","127.0569791","37.7452685","동오","동오","Dong-o","U118"
"11129","116","수인분당선","126.6547039","37.4299506","송도","송도","Songdo","K267"
"178","1","1호선","126.9355901","37.3844429","명학","명학","Myeonghak","P148"
"1710","107","에버라인","127.1986559","37.2373025","김량장","김량장","Gimnyangjang","Y119"
"179","1","1호선","126.9432978","37.3723648","금정","금정","Geumjeong","P149"
"1830","108","경춘선","127.7166579","37.8844444","춘천","춘천","Chuncheon","P140"
"11001","110","의정부경전철","127.0529099","37.7269917","발곡","발곡","Balgok","U110"
"11122","116","수인분당선","126.7426408","37.3918973","월곶","월곶","Wolgot","K260"
"11121","116","수인분당선","126.7388048","37.362651","오이도","오이도","Oido","K258"
"11003","110","의정부경전철","127.043664","37.7287961","범골","범골","Beomgol","U112"
"11124","116","수인분당선","126.7224215","37.4006386","인천논현","인천논현","Incheon Nonhyeon","K262"
"11002","110","의정부경전철","127.0471083","37.7250156","회룡","회룡","Hoeryong","U111"
"11123","116","수인분당선","126.733547","37.4009748","소래포구","소래포구","Soraepogu","K261"
"11005","110","의정부경전철","127.0348665","37.7392416","의정부시청","의정부시청","Uijongbu City Hall","U114"
"11126","116","수인분당선","126.6952494","37.407784","남동인더스파크","남동인더스파크","Namdong Induspark","K264"
"1715","107","에버라인","127.2195318","37.285388","전대에버랜드","전대에버랜드","Jeondae·Everland","Y124"
"11004","110","의정부경전철","127.043317","37.7372914","경전철의정부","경전철의정부","Lrt Uijeongbu","U113"
"11125","116","수인분당선","126.7086973","37.4016352","호구포","호구포","Hogupo","K263"
"1714","107","에버라인","127.2136254","37.2671545","둔전","둔전","Dunjeon","Y123"
"11007","110","의정부경전철","127.0496635","37.7436839","의정부중앙","의정부중앙","Uijeongbu Jung-ang","U117"
"11128","116","수인분당선","126.6788826","37.4178721","연수","연수","Yeonsu","K266"
"1713","107","에버라인","127.2184648","37.259028","보평","보평","Bopyeong","Y122"
"11006","110","의정부경전철","127.0371208","37.7432932","흥선","흥선","Heungseon","U115"
"11127","116","수인분당선","126.6866059","37.4130941","원인재","원인재","Woninjae","K265"
"11010","110","의정부경전철","127.071618","37.7507754","경기도청북부청사","경기도청북부청사","Gyeonggi Prov Govt North Ofc","U120"
"11131","116","수인분당선","126.6498422","37.4482143","인하대","인하대","Inha Univ.","K269"
"180","1","1호선","126.9485391","37.3540063","군포","군포","Gunpo","P150"
"181","1","1호선","126.9481135","37.32041","의왕","의왕","Uiwang","P152"
"182","1","1호선","126.9711633","37.3003158","성균관대","성균관대","Sungkyunkwan Univ.","P153"
"183","1","1호선","126.9895864","37.2839988","화서","화서","Hwaseo","P154"
"184","1","1호선","127.0000339","37.2662505","수원","수원","Suwon","P155"
"185","1","1호선","127.0137092","37.2441818","세류","세류","Seryu","P156"
"186","1","1호선","127.0332632","37.206849","병점","병점","Byeongjeom","P157"
"187","1","1호선","127.0432867","37.1872948","세마","세마","Sema","P158"
"188","1","1호선","127.0631028","37.169296","오산대","오산대","Osan College","P159"
"189","1","1호선","127.0667065","37.1453975","오산","오산","Osan","P160"
"11012","110","의정부경전철","127.0838461","37.7505337","곤제","곤제","Gonje","U122"
"11133","116","수인분당선","126.6245247","37.4684547","신포","신포","Sinpo","K271"
"1609","104","경의중앙선","126.9275504","37.5571098","홍대입구","홍대입구","Hongik Univ.","K314"
"11011","110","의정부경전철","127.0772809","37.7539992","효자","효자","Hyoja","U121"
"11132","116","수인분당선","126.638075","37.4609117","숭의","숭의","Sungui","K270"
"1608","104","경의중앙선","126.9354452","37.5521672","서강대","서강대","Sogang Univ.","K313"
"11014","110","의정부경전철","127.0872089","37.7372812","송산","송산","Songsan","U124"
"1607","104","경의중앙선","126.9519483","37.542533","공덕","공덕","Gongdeok","K312"
"11013","110","의정부경전철","127.0852264","37.7426961","어룡","어룡","Eoryong","U123"
"11134","116","수인분당선","126.6173965","37.4765047","인천","인천","Incheon","K272"
"1606","104","경의중앙선","126.9625371","37.5386082","효창공원앞","효창공원앞","Hyochang Park","K311"
"11015","110","의정부경전철","127.0889136","37.7335065","탑석","탑석","Tapseok","U125"
"190","1","1호선","127.0623535","37.1097791","진위","진위","Jinwi","P161"
"191","104","경의중앙선","127.0481155","37.5803033","청량리","청량리","Cheongnyangni","K117"
"192","104","경의중앙선","127.0385273","37.5615074","왕십리","왕십리","Wangsimni","K116"
"193","104","경의중앙선","127.034487","37.5499582","응봉","응봉","Eungbong","K115"
"195","104","경의중앙선","127.0186724","37.5404742","옥수","옥수","Oksu","K114"
"196","104","경의중앙선","127.0090019","37.5293678","한남","한남","Hannam","K113"
"197","104","경의중앙선","126.9883749","37.5196188","서빙고","서빙고","Seobinggo","K112"
"198","104","경의중앙선","126.9736508","37.5223792","이촌","이촌","Ichon","K111"
"1613","104","경의중앙선","126.9004835","37.5775083","디지털미디어시티","디지털미디어시티","Digital Media City","K316"
"199","1","1호선","127.0165891","37.5732462","동묘앞","동묘앞","Dongmyo","127"
"1612","104","경의중앙선","126.9149612","37.5687984","가좌","가좌","Gajwa","K315"
"1611","104","경의중앙선","126.9423666","37.5597706","신촌","신촌","Sinchon","P314"
