id,line,name,lat,lng,kakao_place_id,kakao_place_name,kakao_address,kakao_road_address,kakao_phone,kakao_place_url,kakao_lat,kakao_lng,kakao_category_group_code,kakao_category_group_name,kakao_category_name
101,"05호선","고덕",37.555004,127.154151,"21160681","고덕역 5호선","서울 강동구 고덕동 310","서울 강동구 고덕로 지하 253","02-6311-5521","http://place.map.kakao.com/21160681","127.15416500963447","37.55504766830918","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
102,"05호선","상일동",37.556712,127.166417,"17492613","상일동역 5호선","서울 강동구 상일동 148","서울 강동구 고덕로 지하 359","02-6311-5531","http://place.map.kakao.com/17492613","127.165905758209","37.5566778757215","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
103,"05호선","둔촌동",37.527788,127.136248,"21160689","둔촌동역 5호선","서울 강동구 둔촌동 416","서울 강동구 양재대로 지하 1369","02-6311-5541","http://place.map.kakao.com/21160689","127.13621464981398","37.52765684247226","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
104,"05호선","올림픽공원",37.516078,127.130848,"21160754","올림픽공원역 5호선","서울 송파구 방이동 89-28","서울 송파구 양재대로 지하 1233","02-6311-5551","http://place.map.kakao.com/21160754","127.130963675401","37.5163389870117","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
105,"05호선","방이",37.508857,127.126133,"21160691","방이역 5호선","서울 송파구 방이동 217-2","서울 송파구 양재대로 지하 1127","02-6311-5561","http://place.map.kakao.com/21160691","127.126096046986","37.5087506251989","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
106,"05호선","오금",37.502162,127.128111,"21160846","오금역 5호선","서울 송파구 오금동 44-2","서울 송파구 오금로 지하 321","02-6110-3521","http://place.map.kakao.com/21160846","127.127953219596","37.5021388575469","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
107,"05호선","개롱",37.498079,127.13482,"21160755","개롱역 5호선","서울 송파구 가락동 165-2","서울 송파구 오금로 지하 402","02-6311-5581","http://place.map.kakao.com/21160755","127.13507959838425","37.497968278388235","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
108,"05호선","거여",37.493105,127.14415,"21160664","거여역 5호선","서울 송파구 거여동 20-14","서울 송파구 오금로 지하 499","02-6311-5591","http://place.map.kakao.com/21160664","127.143773841911","37.4933304500736","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
109,"05호선","마천",37.49499,127.152781,"21160845","마천역 5호선","서울 송파구 마천동 307-4","서울 송파구 마천로57길 지하 7","02-6311-5601","http://place.map.kakao.com/21160845","127.152859864985","37.4950381629493","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권5호선"
110,"06호선","응암",37.598605,126.915577,"25039996","응암역 6호선","서울 은평구 신사동 22-15","서울 은평구 증산로 지하 477","02-6311-6101","http://place.map.kakao.com/25039996","126.9155399209037","37.5984928632876","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
111,"06호선","역촌",37.606021,126.922744,"8000790","역촌역 6호선","서울 은평구 녹번동 153-31","서울 은평구 서오릉로 지하 63","02-6311-6111","http://place.map.kakao.com/8000790","126.9228437430386","37.60622745935512","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
112,"06호선","불광",37.610469,126.929887,"21160667","불광역 6호선","서울 은평구 대조동 13-10","서울 은평구 통일로 지하 723-1","02-6311-6121","http://place.map.kakao.com/21160667","126.92939540272262","37.61087796280672","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
113,"06호선","독바위",37.618456,126.933031,"25045331","독바위역 6호선","서울 은평구 불광동 13-33","서울 은평구 불광로 지하 129-1","02-6311-6131","http://place.map.kakao.com/25045331","126.933053652461","37.6184141599944","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
114,"06호선","연신내",37.619001,126.921008,"21160758","연신내역 6호선","서울 은평구 갈현동 397","서울 은평구 통일로 지하 849","02-6311-6141","http://place.map.kakao.com/21160758","126.92045466718463","37.61851445829909","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
115,"06호선","구산",37.611377,126.91727,"25051253","구산역 6호선","서울 은평구 구산동 1","서울 은평구 연서로 지하 137-1","02-6311-6151","http://place.map.kakao.com/25051253","126.91725947715172","37.61124669148435","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
116,"06호선","새절",37.591148,126.913629,"21160695","새절역 6호선","서울 은평구 신사동 337-5","서울 은평구 증산로 지하 400","02-6311-6161","http://place.map.kakao.com/21160695","126.913580663181","37.5908600479967","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
117,"06호선","증산",37.583876,126.909645,"25037150","증산역 6호선","서울 은평구 증산동 199-8","서울 은평구 증산로 지하 306","02-6311-6171","http://place.map.kakao.com/25037150","126.909494991105","37.583746353282","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
118,"06호선","디지털미디어시티",37.576646,126.900984,"21160854","디지털미디어시티역 6호선","서울 은평구 증산동 223-25","서울 은평구 수색로 지하 175","02-6311-6181","http://place.map.kakao.com/21160854","126.90127778415635","37.57601374718818","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
119,"06호선","월드컵경기장",37.569532,126.899298,"21160672","월드컵경기장역 6호선","서울 마포구 성산동 420","서울 마포구 월드컵로 지하 240","02-6311-6191","http://place.map.kakao.com/21160672","126.899098148061","37.5696355653344","SW8","지하철역","교통,수송 > 지하철,전철 > 수도권6호선"
