id,line,name,lat,lng,google_place_id,google_place_name,google_address,google_lat,google_lng
583,"09호선","고속터미널",37.50481,127.004943,"ZERO_RESULTS",,,,
584,"09호선","사평",37.504206,127.015259,"ZERO_RESULTS",,,,
585,"공항철도","마곡나루",37.567336,126.829497,"ZERO_RESULTS",,,,
586,"공항철도","검암",37.569104,126.673728,"ChIJEUxZCsKBfDURdXPOW_9oLzg","검암역","인천광역시 서구 검암동",37.5692314,126.6736077
587,"신분당선","정자",37.36706,127.108105,"ChIJ4fFUOzRYezUR30DZGgtr5Us","정자","경기도 성남시 분당구 정자동 176-1",37.366163,127.108088
588,"신분당선","미금",37.350077,127.10891,"ChIJQZYziMZZezUR5MAaFCi-wHQ","미금","경기도 성남시 분당구 금곡동 성남대로 지하 156",37.350751,127.108901
589,"의정부경전철","동오",37.745271,127.056947,"ChIJn6SDWSHHfDURsbq09jw2bDU","동오","의정부시 신곡동",37.745269,127.056979
590,"의정부경전철","새말",37.748885,127.06362,"ChIJ1X3nUeDGfDURIPpnJMKoXCw","새말","의정부시 신곡동",37.748869,127.063785
591,"의정부경전철","경기도청북부청사",37.75059,127.071495,"ChIJd6Ob0OTGfDURL58mEf9-F9A","경기도청북부청사","의정부시 신곡동",37.750773,127.071607
592,"의정부경전철","효자",37.754025,127.076902,"ChIJS50CLPHGfDURkW2NOauCcdk","효자","의정부시 신곡동",37.753999,127.077281
593,"09호선","가양",37.561391,126.854456,"ZERO_RESULTS",,,,
594,"공항철도","서울",37.554648,126.972559,"ChIJA3CU42aifDURaq-3csGXvuc","서울역","서울특별시 중구 소공동 세종대로18길 2",37.555946,126.972317
595,"공항철도","공덕",37.544018,126.951592,"ChIJA3CU42aifDURaq-3csGXvuc","서울역","서울특별시 중구 소공동 세종대로18길 2",37.555946,126.972317
596,"공항철도","홍대입구",37.557192,126.925381,"ChIJExW378KYfDUR8aFijbcqirQ","홍대입구","서울특별시 서교동",37.5581082,126.9259574
597,"공항철도","디지털미디어시티",37.576646,126.900984,"ZERO_RESULTS",,,,
598,"공항철도","청라국제도시",37.555878,126.625327,"ZERO_RESULTS",,,,
599,"공항철도","운서",37.492904,126.49379,"ChIJ6dSLsOmEezURCaBSutl6uJs","운서","인천광역시 운서동",37.4929259,126.4936563
600,"신분당선","양재시민의숲",37.470023,127.03842,"ChIJt-n4ZS2hfDUR9_L-xkCQ2aY","양재시민의숲","서울특별시 양재2동",37.469913,127.038396
601,"신분당선","판교",37.394761,127.111217,"ChIJPylOEwlYezUROOYJvffQr4g","판교역","경기도 성남시 분당구 삼평동 판교역로 160",37.394776,127.11116
