id,line,name,lat,lng,google_place_id,google_place_name,google_address,google_lat,google_lng
698,"인천2호선","남동구청",37.448161,126.736939,"ChIJA52Pm_h7ezURlfhnoBUcrJ8","동암","인천광역시 남동구 만수6동 남동구 청역",37.470882,126.702898
699,"02호선","왕십리",37.561533,127.037732,"ChIJaWenQVijfDURn0RpYmEzwks","왕십리","서울특별시 행당동",37.561949,127.038485
700,"경강선","판교",37.394761,127.111217,"ChIJPylOEwlYezUROOYJvffQr4g","판교역","경기도 성남시 분당구 삼평동 판교역로 160",37.394776,127.11116
701,"수인선","신포",37.46874,126.623853,"ChIJY620vo54ezURhO4OYplNuyU","신포","인천광역시 신포동",37.468455,126.624525
702,"06호선","신내",37.612887,127.103218,"ChIJQbQaSz26fDURkrP-mdbmlBY","신 내역","서울특별시 망우본동",37.6126681,127.1032127
703,"02호선","상왕십리",37.564354,127.029354,"ChIJkSReLkWjfDUR0ezSzuKYkA8","상왕십리","서울특별시 하왕십리동",37.564321,127.029463
704,"용인경전철","삼가",37.242115,127.168075,"ChIJf5pJTzNQezURjpkR0litVoQ","삼가","용인시 역삼동",37.242143,127.168106
705,"경의선","한남",37.52943,127.009169,"ZERO_RESULTS",,,,
706,"01호선","지제",37.0188,127.070444,"ChIJt4TVh7k7ezURKY-1N4ea710","지제","평택시 세교동",37.018858,127.070476
707,"용인경전철","전대·에버랜드",37.285342,127.219561,"ZERO_RESULTS",,,,
708,"02호선","대림",37.49297,126.895801,"ChIJSXbEMj-efDUROuHoRvMqTCg","대림","서울특별시 대림2동",37.4932246,126.8973155
709,"인천2호선","아시아드경기장",37.5517,126.677122,"ChIJb1Cn2R5-ezURGW0CYgPV5tc","아시아드경기장(공촌사거리)","인천광역시 연희동",37.551304,126.677103
710,"02호선","신설동",37.575297,127.025087,"ChIJr8ZwmEyjfDURn9apORDkBc4","신설동","서울특별시 동대문구 용신동",37.575989,127.024381
711,"02호선","도림천",37.514287,126.882768,"ChIJ2TCGlWOefDURzJAlNmT2_-s","도림천","서울특별시 신도림동",37.51447,126.88264
712,"02호선","양천구청",37.512398,126.865819,"ChIJ76iV_tidfDURypjE4pG0FXc","양천구청","서울특별시 신정동",37.51238499999999,126.865668
713,"02호선","용두",37.574028,127.038091,"ChIJ07HSjKq8fDURF4GlAf7xOUc","용두","서울특별시 용두동",37.573964,127.038547
714,"경춘선","중랑",37.594917,127.076116,"ChIJd7_LYAe7fDUR5movXirsxf4","중랑","서울특별시 중랑구 중화2동",37.594904,127.075833
715,"수인분당선","기흥",37.275619,127.115936,"ZERO_RESULTS",,,,
716,"인천2호선","검단오류",37.594877,126.627178,"ZERO_RESULTS",,,,
717,"경의선","용산",37.529849,126.964561,"ChIJDxUjqASifDURYoe1LjkFbE0","용산","서울특별시 용산구 한강로3가 한강대로23길",37.5298837,126.9648019
718,"수인분당선","수원",37.265974,126.999874,"ZERO_RESULTS",,,,
719,"03호선","화정",37.634592,126.83265,"ChIJ0f3uTmSafDURdjc9djW8sHc","화정","고양시 화정2동",37.634643,126.832633
720,"09호선","언주",37.507287,127.033868,"ChIJCc5IMPqjfDUR6IDdnC0JGQo","언주","서울특별시 역삼1동",37.507323,127.033903
721,"용인경전철","기흥",37.275619,127.115936,"ZERO_RESULTS",,,,
722,"01호선","서울",37.554648,126.972559,"ChIJA3CU42aifDURaq-3csGXvuc","서울역","서울특별시 중구 소공동 세종대로18길 2",37.555946,126.972317
723,"01호선","시청",37.564718,126.977108,"ChIJGZGr6_KifDURCV2mRG9hAZ4","시청","서울특별시 중구 지하 101",37.5657037,126.9768616
724,"01호선","종각",37.570161,126.982923,"ChIJH5QaI-mifDURothhidjpo8g","종각","서울특별시 종로1가",37.570176,126.983197
725,"우이신설경전철","화계",37.634802,127.017519,"ChIJF9c7FEC8fDURKxXZ_GJ9UuY","화계","서울특별시 수유1동",37.634118,127.017512
726,"우이신설경전철","삼양",37.627165,127.018152,"ChIJZRcgmUK8fDURcxEMB67qARo","삼양","서울특별시 미아동",37.626922,127.018164
727,"경의선","회기",37.58946,127.057583,"ChIJCxR7T2y7fDURYRnVdmREfHc","회기","서울특별시 휘경1동",37.589686,127.0578
